First_Card,Second_Card,Hand_Type,Win_Rate
A,A,Pair,0.85546875
K,K,Pair,0.821219808
Q,Q,Pair,0.794300288
J,J,Pair,0.776514733
T,T,Pair,0.744117
9,9,Pair,0.717607248
8,8,Pair,0.694610778
K,A,Suited,0.674971503
7,7,Pair,0.67043956
Q,A,Suited,0.658105404
K,A,Unsuited,0.655984196
J,A,Suited,0.646856017
Q,A,Unsuited,0.645770645
T,A,Suited,0.644157564
Q,K,Suited,0.637344119
6,6,Pair,0.635169167
J,K,Suited,0.631596306
J,A,Unsuited,0.63104242
T,A,Unsuited,0.623650556
8,A,Suited,0.623378729
9,A,Suited,0.616440622
Q,K,Unsuited,0.614380165
T,K,Suited,0.609833333
J,Q,Suited,0.607009821
9,A,Unsuited,0.605075208
J,K,Unsuited,0.604435926
7,A,Suited,0.603933989
5,5,Pair,0.603448276
T,K,Unsuited,0.601671309
8,A,Unsuited,0.600696199
5,A,Suited,0.598824874
9,K,Suited,0.597079323
7,A,Unsuited,0.59019847
6,A,Suited,0.590045401
T,Q,Suited,0.589831617
3,A,Suited,0.588812561
4,A,Suited,0.588013136
2,A,Suited,0.583389831
J,Q,Unsuited,0.581331428
4,4,Pair,0.580584039
9,Q,Suited,0.58028169
8,K,Suited,0.579591153
T,J,Suited,0.578774437
9,K,Unsuited,0.577168796
5,A,Unsuited,0.577130588
6,A,Unsuited,0.575255454
T,Q,Unsuited,0.574077112
7,K,Suited,0.57358171
4,A,Unsuited,0.564339456
9,J,Suited,0.560101868
5,K,Suited,0.559466222
3,A,Unsuited,0.558455115
6,K,Suited,0.557943462
T,J,Unsuited,0.556707317
9,Q,Unsuited,0.555647474
8,Q,Suited,0.55418883
8,K,Unsuited,0.549892556
7,K,Unsuited,0.549737931
4,K,Suited,0.549468792
3,3,Pair,0.547376492
2,A,Unsuited,0.546441164
9,T,Suited,0.54350714
6,K,Unsuited,0.540773005
8,J,Suited,0.537964191
7,Q,Suited,0.537528679
8,Q,Unsuited,0.533886282
6,Q,Suited,0.533389121
5,K,Unsuited,0.5316343
2,K,Suited,0.528885135
5,Q,Suited,0.528136379
9,J,Unsuited,0.5277918
3,K,Suited,0.526520052
8,T,Suited,0.52557907
7,J,Suited,0.525341781
4,Q,Suited,0.520605551
7,Q,Unsuited,0.519377277
4,K,Unsuited,0.518770209
9,T,Unsuited,0.51769616
3,K,Unsuited,0.517439269
8,J,Unsuited,0.516635452
3,Q,Suited,0.512596574
8,9,Suited,0.511750205
6,Q,Unsuited,0.511543933
6,J,Suited,0.50767723
6,T,Suited,0.503469421
2,K,Unsuited,0.503145001
5,Q,Unsuited,0.498284639
5,J,Suited,0.498244441
4,J,Suited,0.4950868
2,2,Pair,0.494960682
7,J,Unsuited,0.494059516
7,T,Suited,0.492549807
2,Q,Suited,0.490722333
8,T,Unsuited,0.489321573
4,Q,Unsuited,0.488948277
8,9,Unsuited,0.487329542
3,J,Suited,0.487277565
7,9,Suited,0.486850978
6,J,Unsuited,0.479933939
3,Q,Unsuited,0.479897581
5,T,Suited,0.478541839
4,T,Suited,0.476128613
2,Q,Unsuited,0.47488058
7,T,Unsuited,0.474680053
7,8,Suited,0.473179092
5,J,Unsuited,0.472031995
2,J,Suited,0.471048769
6,8,Suited,0.469796454
6,7,Suited,0.462598425
6,9,Suited,0.462087274
7,9,Unsuited,0.461675085
4,J,Unsuited,0.460479574
6,T,Unsuited,0.459205254
2,J,Unsuited,0.453046317
3,T,Suited,0.451789264
2,T,Suited,0.451398136
7,8,Unsuited,0.44935392
5,9,Suited,0.44845447
3,J,Unsuited,0.447111653
5,T,Unsuited,0.443423384
5,8,Suited,0.443072238
6,9,Unsuited,0.441000275
5,6,Suited,0.438882421
5,9,Unsuited,0.436051644
5,7,Suited,0.434673367
3,9,Suited,0.43100314
4,9,Suited,0.430794702
2,9,Suited,0.430744596
6,7,Unsuited,0.428923988
6,8,Unsuited,0.428161712
4,T,Unsuited,0.428028634
4,8,Suited,0.42754591
4,7,Suited,0.426059809
3,T,Unsuited,0.424306798
4,6,Suited,0.420307167
4,5,Suited,0.420177942
2,T,Unsuited,0.418446387
5,8,Unsuited,0.412224591
3,8,Suited,0.411537168
2,8,Suited,0.410787699
5,7,Unsuited,0.408061569
4,9,Unsuited,0.406868484
3,7,Suited,0.40420912
3,5,Suited,0.402863651
5,6,Unsuited,0.401233209
3,9,Unsuited,0.399878372
4,8,Unsuited,0.397788222
3,4,Suited,0.391500753
2,9,Unsuited,0.390715348
3,6,Suited,0.390672525
2,7,Suited,0.389841911
4,5,Unsuited,0.385959019
2,6,Suited,0.384318766
4,7,Unsuited,0.383366468
4,6,Unsuited,0.376000896
2,4,Suited,0.372272575
3,8,Unsuited,0.371738169
3,7,Unsuited,0.370907882
2,5,Suited,0.369390104
2,8,Unsuited,0.367369651
3,6,Unsuited,0.364166991
2,3,Suited,0.359893758
3,5,Unsuited,0.359304001
2,7,Unsuited,0.349534586
2,6,Unsuited,0.34571943
2,5,Unsuited,0.345456555
3,4,Unsuited,0.344648519
2,4,Unsuited,0.332334166
2,3,Unsuited,0.320370576
